X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
300,167,894,845,0,0,200,4.75,0.8,50,0.5,28,45.49
300,167,894,845,0,0,200,4.75,1,50,0.5,28,46.13
300,167,894,845,0,0,200,4.75,1.2,50,0.5,28,46.67
300,167,894,845,0,0,200,4.75,1.3,50,0.5,28,46.5
416,175,691,1088,22,0,0,7.66,0,36,0.45,28,49.8
416,175,687,1079,22,0,0,7.66,0.5,36,0.45,28,52.02
416,175,682,1071,22,0,0,7.66,1,36,0.45,28,55.28
416,175,678,1062,22,0,0,7.66,1.5,36,0.45,28,56
394.2,175,691,1088,43.8,0,0,7.66,0,36,0.45,28,55.87
394.2,175,687,1079,43.8,0,0,7.66,0.5,36,0.45,28,58.22
394.2,175,682,1071,43.8,0,0,7.66,1,36,0.45,28,59.54
394.2,175,678,1062,43.8,0,0,7.66,1.5,36,0.45,28,61.02
325,179,891,965,0,0,0,0.9,0,60,0.75,28,50.17
325,179,891,965,0,0,0,0.9,0.33,60,0.75,28,50.92
325,179,891,965,0,0,0,0.9,0.67,60,0.75,28,51.34
325,179,891,965,0,0,0,0.9,1,60,0.75,28,52.3
325,179,891,965,0,0,0,0.9,0.33,60,0.71,28,52.51
325,179,891,965,0,0,0,0.9,0.67,60,0.71,28,50.49
325,179,891,965,0,0,0,0.9,1,60,0.71,28,54.11
396,178,842,913,19.8,0,0,1.35,0,60,0.75,28,60.38
396,178,842,913,19.8,0,0,1.35,0.33,60,0.75,28,63.35
396,178,842,913,19.8,0,0,1.35,0.67,60,0.75,28,64.31
396,178,842,913,19.8,0,0,1.35,1,60,0.75,28,63.67
396,178,842,913,19.8,0,0,1.35,0.33,60,0.71,28,60.48
396,178,842,913,19.8,0,0,1.35,0.67,60,0.71,28,63.14
396,178,842,913,19.8,0,0,1.35,1,60,0.71,28,64.95
487,170,785,850,48.7,0,0,1.8,0,60,0.75,28,75.69
487,170,785,850,48.7,0,0,1.8,0.33,60,0.75,28,76
487,170,785,850,48.7,0,0,1.8,0.67,60,0.75,28,76.43
487,170,785,850,48.7,0,0,1.8,1,60,0.75,28,76.85
487,170,785,850,48.7,0,0,1.8,0.33,60,0.71,28,79.62
487,170,785,850,48.7,0,0,1.8,0.67,60,0.71,28,75.79
487,170,785,850,48.7,0,0,1.8,1,60,0.71,28,77.6
230,762,400,1011,0,0,0,0.8,0,60,0.75,28,45.62
230,762,400,1011,0,0,0,0.8,0.25,60,0.75,28,45.19
230,762,400,1011,0,0,0,0.8,5,60,0.75,28,45.65
230,762,400,1011,0,0,0,0.8,0.75,60,0.75,28,42.1
230,762,400,1011,0,0,0,0.8,1,60,0.75,28,42.6
230,762,400,1011,0,0,0,0.8,1.25,60,0.75,28,52.23
230,762,400,1011,0,0,0,0.8,1.5,60,0.75,28,52.6
230,762,400,1011,0,0,0,0.8,1.75,60,0.75,28,52
372,160,750,1140,28,0,0,8,0,0,0,28,56.1
372,160,750,1140,28,0,0,8,0.5,30,0.5,28,59.2
430,133,739,1052,43,0,0,9,0,35,0.55,28,90.36
430,133,739,1052,43,0,0,9,0.5,35,0.55,28,96.73
430,133,739,1052,43,0,0,9,1,35,0.55,28,100.99
430,133,739,1052,43,0,0,9,1.5,35,0.55,28,104.17
430,133,739,1052,43,0,0,9,2,35,0.55,28,102.05
440,220,1225,366,0,0,0,3,0,0,0,28,52.15
440,220,1215,363,0,0,0,3.2,0.5,31,0.75,28,56.4
440,220,1205,360,0,0,0,3.7,1,31,0.75,28,49.12
440,220,1193,356,0,0,0,4,1.5,31,0.75,28,56.17
